"ID","Prefecture","Q1","Q3","Q4","Q5","Q6","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q10_7","Q10_8","Q10_9","Q10_10","Q10_11","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q15","Q16","Q17","Q18","Q20","Q25","Q28","Q41","Q42_1","Q42_2","Q42_3","Q42_4","Q42_5","Q42_6","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q43_6","Q43_7","Q43_8","Q43_9","Q43_10","Q43_11","Q43_12","Q44_1","Q44_2","Q44_3","Q44_4","Q44_5","Q44_6","Q45","Q46","Q47","Q48","Q49_1","Q49_2","Q50","Q51","Q52","Q53","Q54","Q57_1","Q57_2","Q57_3","Q57_4","Q57_5","Q57_6","Q57_7"
1,1,2,12,4,3,3,0,0,0,0,0,0,0,0,0,0,1,4,4,3,3,3,3,2,2,2,2,1,2,2,12,0,0,1,3,1,0,2,3,1,3,3,2,4,3,3,1,2,2,2,3,4,3,3,4,2,12,1,12,7,66,2,1,3,3,6,0,1,0,1,0,0,0
2,1,1,5,5,2,2,0,1,1,0,0,0,0,0,0,0,0,2,2,3,2,3,3,3,3,2,1,1,2,1,1,7,4,6,5,5,5,1,2,2,4,3,2,4,1,4,3,3,2,2,3,3,3,3,3,2,1,2,9,5,66,2,2,1,2,4,0,1,0,0,0,0,0
3,1,3,12,99,2,3,0,0,0,0,0,0,0,0,0,0,1,5,2,2,2,3,3,2,2,3,2,3,5,2,12,99,99,99,99,99,99,1,3,3,4,3,1,4,4,4,3,1,1,3,99,3,4,99,99,9,99,2,4,2,4,2,2,1,3,3,0,1,0,1,1,1,0
4,1,1,12,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,3,3,2,1,1,3,2,1,6,4,5,4,8,7,1,1,1,4,3,3,3,3,3,3,2,2,1,2,2,1,2,5,3,12,2,9,5,66,2,2,1,2,4,1,1,0,1,0,0,0
5,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,0,2,4,4,3,3,3,1,1,2,2,1,2,1,1,6,6,6,6,3,0,1,1,1,1,3,4,1,1,1,1,1,1,1,2,5,2,2,4,2,1,1,7,1,2,1,3,4,2,4,0,0,0,1,1,1,0
6,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,4,4,2,2,2,2,1,8,6,7,7,6,5,3,2,5,1,2,2,2,1,5,4,3,3,3,3,3,3,3,2,3,1,2,7,2,2,3,2,4,3,4,0,1,0,1,0,0,0
7,1,2,2,2,2,3,0,1,1,0,0,0,0,0,1,0,0,3,3,4,3,4,4,4,3,2,1,1,3,2,2,5,6,5,3,4,5,1,2,1,2,99,4,4,1,2,3,5,3,1,2,1,3,4,5,4,2,1,13,7,66,2,2,1,2,6,1,1,0,0,0,0,0
8,1,2,8,8,1,4,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,1,4,1,1,2,2,8,2,0,0,8,0,0,1,3,3,3,1,1,5,5,5,5,5,1,1,2,5,5,1,5,2,4,1,10,5,66,2,3,1,4,5,0,0,0,1,1,1,0
9,1,2,12,6,2,4,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,4,3,2,1,2,2,2,2,2,6,0,6,4,6,0,3,1,5,1,3,2,1,5,2,3,1,1,1,2,1,3,2,3,2,2,6,1,2,2,2,1,3,4,2,4,0,1,0,1,0,1,0
10,1,2,12,6,2,4,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,3,1,1,1,2,3,1,2,2,12,99,99,99,99,0,99,2,5,99,3,3,3,5,3,4,3,1,3,2,99,2,99,99,99,5,12,2,2,3,66,2,2,2,3,4,0,0,0,1,0,1,0
