id,age,educ,turnout,female,interest
1,62,16,55.1,0,3
2,74,10,68.8,1,3
3,48,10,62.8,0,4
4,46,15,92.7,1,3
5,42,12,60.5,1,5
6,71,9,69.9,1,3
7,65,15,77.8,1,4
8,74,14,75.3,1,4
9,64,11,81.6,1,2
10,31,15,66.9,1,2
11,18,13,29.2,0,2
12,68,13,69.2,1,2
13,28,14,58.3,1,5
14,35,10,86.0,1,2
15,24,12,42.1,1,4
16,53,11,72.9,0,5
17,72,14,71.4,1,3
18,40,15,59.1,1,2
19,55,11,86.4,1,2
20,18,15,32.5,1,3
21,18,15,72.7,1,2
22,70,12,87.7,0,3
23,47,11,60.6,0,3
24,27,14,62.8,0,2
25,48,17,71.9,1,1
26,56,15,55.9,1,2
27,33,9,38.0,0,3
28,81,12,80.0,0,3
29,75,12,90.1,1,3
30,40,14,66.5,0,2
31,42,14,72.3,0,2
32,67,14,73.8,0,2
33,28,14,49.6,0,2
34,33,14,43.3,0,2
35,43,13,58.4,0,2
36,20,15,58.5,0,4
37,62,16,82.0,0,2
38,65,18,73.8,1,4
39,59,12,74.2,1,4
40,18,14,37.1,1,3
41,29,13,39.8,1,3
42,61,9,71.9,1,5
43,37,11,61.2,0,1
44,63,13,83.8,0,4
45,68,16,68.0,0,3
46,28,12,49.1,1,2
47,62,15,80.8,1,3
48,46,12,53.6,1,2
49,42,13,68.7,1,3
50,64,14,93.9,1,2
51,53,13,70.0,0,4
52,39,10,66.4,1,3
53,28,11,30.3,1,1
54,30,11,35.9,0,3
55,34,9,40.3,1,1
56,39,18,85.2,0,3
57,45,16,65.4,0,1
58,42,16,64.4,1,3
59,49,14,75.1,0,3
60,54,14,60.5,1,4
61,69,14,73.1,0,4
62,52,10,65.4,0,2
63,27,9,42.5,1,2
64,50,12,80.7,1,3
65,46,16,84.0,0,3
66,24,12,63.7,1,2
67,36,16,62.5,0,3
68,39,12,66.9,0,3
69,81,11,57.2,0,5
70,35,13,65.4,1,2
71,34,11,33.6,1,3
72,57,17,91.6,1,5
73,60,9,61.5,0,1
74,62,15,76.7,0,3
75,51,13,72.6,1,5
76,18,11,22.0,0,4
77,55,13,77.8,1,4
78,37,17,60.7,1,2
79,44,15,74.2,0,4
80,62,11,82.3,0,3
81,47,13,62.7,0,4
82,63,12,86.6,0,2
83,51,13,63.0,0,4
84,82,19,71.1,0,4
85,30,16,52.3,1,2
86,62,16,87.5,1,2
87,61,12,100,1,4
88,50,12,62.0,1,3
89,32,13,72.1,1,2
90,39,14,64.7,1,2
91,48,11,71.0,0,2
92,63,17,77.4,1,3
93,43,15,63.2,1,5
94,62,16,82.0,0,5
95,45,17,61.6,1,2
96,40,11,46.5,0,1
97,26,15,66.4,0,3
98,69,14,80.2,1,4
99,63,10,79.3,0,2
100,59,14,91.2,1,4
101,34,17,66.5,1,2
102,70,15,80.6,0,3
103,73,19,97.5,0,3
104,46,12,50.7,0,4
105,58,15,68.2,0,3
106,85,13,82.9,1,3
107,39,16,53.9,1,3
108,67,14,100,1,3
109,57,11,59.1,1,4
110,40,17,76.1,1,1
111,71,13,99.8,1,1
112,23,14,48.8,0,3
113,50,9,75.9,1,3
114,21,9,46.5,0,3
115,53,16,59.1,1,3
116,52,10,76.0,1,4
117,31,16,40.7,0,3
118,60,16,96.8,0,3
119,56,9,46.0,0,2
120,45,16,71.1,1,2
121,55,15,66.1,0,2
122,27,15,81.4,1,1
123,50,16,58.4,1,3
124,56,15,73.0,0,3
125,62,14,86.4,1,2
126,46,14,41.9,0,3
127,31,15,61.9,0,2
128,37,11,46.0,1,4
129,44,11,55.3,1,3
130,35,12,72.0,0,2
131,56,12,76.3,1,5
132,42,10,62.1,1,3
133,63,19,86.6,0,3
134,25,9,48.5,1,2
135,32,15,49.6,1,3
136,38,14,65.3,1,2
137,25,14,30.0,1,1
138,49,9,72.9,0,4
139,53,12,70.7,1,3
140,32,13,46.5,1,2
141,31,11,58.6,0,4
142,53,14,61.5,0,3
143,47,13,60.5,1,3
144,45,11,50.9,1,3
145,41,11,35.6,1,3
146,60,14,77.9,0,4
147,28,12,50.0,0,3
148,44,14,58.4,0,3
149,57,12,72.7,0,1
150,27,18,67.3,1,4
151,55,10,53.6,0,3
152,57,9,37.6,0,4
153,52,15,75.8,1,2
154,56,14,79.5,0,3
155,65,12,100,1,4
156,59,11,97.5,0,2
157,21,9,48.6,0,3
158,47,14,64.1,1,3
159,71,15,68.6,0,3
160,42,14,54.7,1,4
161,51,14,56.1,1,4
162,43,12,62.7,1,4
163,18,18,46.8,0,2
164,32,17,81.1,0,5
165,56,11,61.8,1,2
166,57,16,89.9,0,4
167,67,13,64.2,1,4
168,70,15,91.5,0,3
169,38,15,56.6,0,4
170,40,16,76.0,0,3
171,42,10,58.7,0,4
172,32,12,51.6,0,2
173,68,14,96.8,0,5
174,34,14,68.6,0,4
175,39,14,63.3,0,4
176,71,9,62.6,1,4
177,47,18,63.8,1,3
178,51,12,58.7,1,3
179,41,9,36.2,1,4
180,51,14,57.0,1,4
181,53,17,87.4,1,2
182,42,11,67.3,1,3
183,71,14,84.1,1,4
184,43,12,78.5,0,3
185,26,11,53.9,1,2
186,54,12,59.3,1,1
187,58,9,58.2,1,2
188,48,10,76.4,1,3
189,21,10,58.1,1,1
190,30,17,64.4,0,2
191,58,17,56.1,1,3
192,31,13,22.8,0,2
193,49,15,55.7,0,2
194,35,15,65.0,0,3
195,49,10,50.3,0,3
196,53,12,74.7,1,1
197,40,13,57.1,1,3
198,84,12,100,1,3
199,48,12,77.8,0,3
200,42,14,44.0,0,3
201,32,15,76.1,0,4
202,33,15,71.0,1,5
203,46,18,75.9,1,1
204,54,13,73.2,1,3
205,33,18,70.6,0,2
206,35,13,49.3,1,3
207,41,17,72.8,1,2
208,64,17,78.1,0,4
209,56,12,83.7,1,2
210,39,10,62.1,1,3
211,33,15,48.1,0,3
212,81,13,100,1,3
213,28,12,39.4,1,4
214,45,9,58.8,1,3
215,25,14,59.7,0,2
216,59,15,74.8,1,4
217,59,14,80.8,1,3
218,87,11,81.9,0,3
219,46,15,62.3,0,3
220,73,11,93.1,1,4
221,65,14,87.8,1,2
222,34,15,50.6,0,1
223,63,12,84.0,0,4
224,26,11,77.8,1,4
225,55,11,53.7,1,2
226,49,12,70.6,1,3
227,38,13,50.9,1,4
228,55,14,67.0,1,3
229,80,12,100,0,3
230,46,15,64.7,0,3
231,50,13,69.6,0,4
232,53,15,71.8,1,4
233,31,12,61.4,1,4
234,18,14,34.9,1,2
235,57,9,80.5,0,3
236,44,11,84.3,0,2
237,46,16,76.9,0,1
238,50,15,91.8,0,3
239,34,14,78.1,0,5
240,60,13,50.9,0,4
241,50,13,75.2,1,3
242,64,15,66.4,1,3
243,25,13,73.9,1,3
244,66,12,60.6,1,4
245,56,12,83.6,1,3
246,54,11,68.3,0,2
247,18,16,66.9,1,3
248,63,16,63.9,1,4
249,60,13,73.8,0,4
250,45,15,68.4,0,3
251,46,10,53.4,0,4
252,58,10,64.7,1,4
253,40,18,60.5,1,3
254,36,15,64.6,1,4
255,46,16,64.6,1,1
256,18,12,45.5,1,2
257,60,17,80.6,1,4
258,29,14,77.8,1,2
259,39,10,52.1,1,5
260,32,17,63.3,1,1
261,47,11,75.9,0,4
262,42,11,79.5,1,5
263,60,13,72.5,1,3
264,66,12,73.7,1,4
265,76,13,88.0,0,3
266,46,15,79.5,0,3
267,35,12,55.1,0,3
268,79,16,92.9,1,3
269,45,13,43.6,0,3
270,42,14,63.9,1,2
271,51,15,68.4,0,3
272,29,20,45.7,0,3
273,83,10,79.6,0,4
274,43,15,66.7,0,3
275,48,15,91.4,0,3
276,47,13,72.6,0,3
277,49,9,70.9,1,2
278,56,13,48.6,0,2
279,55,13,56.9,0,4
280,53,9,72.0,0,2
281,67,10,67.6,0,3
282,57,18,100,0,4
283,49,14,77.5,0,4
284,39,13,54.7,0,3
285,88,10,100,1,3
286,54,12,58.3,1,3
287,18,17,55.1,1,2
288,20,16,68.5,1,4
289,38,13,54.8,1,3
290,74,17,100,0,1
291,39,15,100,1,3
292,55,11,68.8,0,3
293,75,14,82.7,1,3
294,53,15,71.7,0,3
295,18,13,46.4,1,2
296,53,14,76.5,1,3
297,56,14,91.5,0,5
298,53,12,67.6,0,2
299,35,15,60.0,0,1
300,67,13,97.9,1,3
301,44,14,59.5,1,3
302,40,12,70.8,1,5
303,52,14,74.0,1,4
304,73,13,61.3,0,5
305,47,15,64.7,1,4
306,50,13,75.8,1,5
307,68,16,86.5,0,3
308,67,11,93.8,1,3
309,69,15,94.5,1,5
310,51,17,83.2,1,3
311,81,15,70.3,0,1
312,50,11,66.8,0,4
313,56,17,83.9,0,3
314,56,15,80.0,0,4
315,66,15,91.3,0,4
316,65,9,67.1,0,4
317,67,9,58.2,0,4
318,41,14,77.5,0,4
319,53,15,77.2,1,2
320,56,18,91.6,1,3
321,36,15,71.5,0,3
322,44,16,63.9,0,2
323,46,18,51.1,0,4
324,41,12,68.6,1,1
325,37,17,53.3,1,3
326,66,9,63.2,0,3
327,43,14,62.7,1,3
328,35,16,58.7,1,3
329,46,15,71.4,0,4
330,22,17,53.8,1,3
331,45,16,73.2,0,2
332,61,12,84.9,0,3
333,64,9,75.8,0,2
334,31,14,47.0,0,2
335,35,15,75.1,0,3
336,87,15,93.0,0,4
337,71,14,90.9,1,3
338,48,19,71.5,0,2
339,77,14,64.4,1,3
340,45,13,65.1,0,1
341,68,10,79.3,1,3
342,57,13,64.6,0,3
343,68,13,89.5,0,4
344,45,15,79.3,1,3
345,42,19,64.5,0,3
346,67,16,92.7,0,3
347,54,14,50.3,1,5
348,40,17,52.7,1,2
349,58,15,81.9,0,4
350,51,12,83.8,1,4
351,18,13,60.9,1,4
352,54,12,76.0,0,5
353,57,12,74.9,0,3
354,67,11,61.7,1,2
355,54,15,65.1,1,3
356,67,13,64.2,1,3
357,44,12,56.2,0,4
358,38,9,54.1,0,3
359,62,15,86.8,0,3
360,58,11,91.5,1,3
361,34,17,75.6,1,3
362,44,11,73.1,0,2
363,71,16,100,1,4
364,75,15,100,0,4
365,64,12,88.0,1,2
366,88,16,100,1,4
367,38,9,63.7,0,3
368,18,19,66.0,0,2
369,30,11,52.2,0,3
370,34,16,60.9,0,1
371,78,12,69.6,0,3
372,43,17,68.5,1,3
373,56,16,77.2,1,5
374,18,12,58.0,1,3
375,59,16,75.1,0,5
376,41,15,61.6,1,3
377,33,16,53.1,0,4
378,48,12,59.8,1,5
379,66,15,98.5,1,3
380,63,14,86.7,1,4
381,70,14,78.2,1,4
382,35,11,62.6,0,3
383,48,16,74.9,1,3
384,48,14,65.4,1,4
385,60,18,64.2,0,3
386,33,13,61.9,0,1
387,18,13,54.6,1,2
388,83,15,75.2,1,4
389,55,13,67.4,1,5
390,74,12,86.5,0,3
391,43,9,49.7,0,4
392,56,13,64.1,1,2
393,45,15,87.2,0,5
394,60,18,74.4,1,3
395,49,13,72.9,1,4
396,50,9,57.5,1,3
397,33,16,45.3,1,3
398,49,12,52.7,1,2
399,41,16,47.8,1,4
400,61,13,48.0,1,3
401,26,14,51.4,0,2
402,80,16,89.3,1,4
403,65,15,51.8,1,3
404,44,13,64.1,0,3
405,18,15,44.1,1,2
406,43,14,50.9,1,3
407,18,15,55.7,1,1
408,40,14,84.2,1,4
409,28,12,59.4,0,2
410,52,14,43.4,1,3
411,53,9,61.8,0,4
412,64,16,65.7,0,3
413,31,15,64.1,1,1
414,33,14,51.7,0,3
415,62,17,56.3,1,5
416,35,14,58.0,0,2
417,39,18,56.2,0,2
418,33,13,77.1,0,2
419,78,12,88.3,0,5
420,54,13,65.6,1,4
421,52,12,67.3,1,2
422,63,13,83.7,0,4
423,63,13,77.8,1,3
424,36,12,60.8,1,3
425,63,18,50.2,0,1
426,23,18,54.3,1,3
427,49,13,65.0,1,2
428,34,16,51.9,0,3
429,71,13,80.6,0,3
430,33,14,39.9,1,4
431,37,14,71.8,0,5
432,75,15,96.8,1,5
433,44,13,57.2,0,3
434,34,13,94.7,0,3
435,45,12,57.8,1,3
436,39,15,55.8,0,4
437,51,12,64.3,0,4
438,18,10,31.3,1,5
439,39,12,53.4,0,3
440,20,14,54.2,0,4
441,41,11,67.8,1,3
442,71,18,76.8,1,3
443,74,15,98.6,0,4
444,53,9,57.6,1,3
445,50,18,81.1,1,2
446,22,14,32.7,1,3
447,55,16,61.0,0,3
448,36,14,40.4,1,4
449,55,15,75.6,0,4
450,47,15,63.6,1,4
451,52,14,67.3,1,3
452,55,13,59.3,1,5
453,63,13,59.4,1,4
454,31,10,53.6,0,3
455,27,13,40.9,0,4
456,18,13,30.7,1,2
457,25,14,53.9,1,3
458,18,14,51.6,1,3
459,19,11,55.2,1,3
460,68,12,85.2,1,3
461,22,13,61.8,1,2
462,41,10,61.1,0,4
463,53,16,69.8,1,2
464,65,14,50.9,1,2
465,46,16,98.7,1,5
466,37,14,51.6,0,2
467,25,15,51.5,1,2
468,47,15,73.6,0,3
469,52,16,74.2,1,3
470,76,14,74.7,1,2
471,49,15,62.5,1,2
472,19,13,45.7,0,5
473,72,13,88.3,1,4
474,29,17,81.9,0,1
475,31,16,56.9,1,1
476,59,15,56.2,0,3
477,54,14,91.7,1,4
478,39,15,56.5,1,3
479,38,11,44.6,1,3
480,31,12,58.2,0,4
481,24,12,52.7,0,3
482,62,9,51.0,1,3
483,43,16,72.5,0,4
484,65,14,92.7,0,3
485,26,14,25.8,1,4
486,88,11,82.6,1,5
487,81,13,77.6,1,5
488,58,16,88.7,0,3
489,30,13,56.1,0,3
490,46,14,69.5,1,2
491,59,10,65.0,1,3
492,40,10,32.9,0,4
493,73,13,79.7,1,4
494,48,13,52.5,1,3
495,39,17,45.3,1,2
496,44,12,70.9,0,4
497,18,9,41.8,1,2
498,43,14,67.0,0,4
499,51,12,88.6,0,4
500,23,11,27.0,0,4
501,48,9,65.1,0,3
502,47,15,69.1,0,4
503,43,16,64.9,1,3
504,80,15,71.4,1,2
505,62,12,68.0,0,4
506,54,14,67.5,0,3
507,63,16,78.8,1,3
508,60,9,41.4,0,3
509,56,15,75.1,1,3
510,67,9,80.8,1,5
511,55,12,73.0,0,3
512,40,13,62.9,0,2
513,54,16,75.8,0,3
514,53,13,72.7,1,3
515,34,15,61.1,1,3
516,85,13,73.7,0,2
517,33,13,63.1,0,2
518,62,15,73.3,1,3
519,42,15,57.8,0,3
520,67,16,76.9,0,2
521,57,14,90.8,0,2
522,36,11,40.7,0,4
523,54,17,69.7,0,3
524,54,15,39.9,1,1
525,52,15,70.2,0,4
526,40,16,59.7,0,3
527,71,11,58.3,1,4
528,64,16,77.7,1,3
529,18,19,59.7,0,2
530,51,11,58.5,1,3
531,47,15,62.9,0,4
532,62,15,82.1,0,3
533,29,9,44.8,1,1
534,34,13,47.5,1,4
535,32,11,38.7,0,3
536,47,14,47.3,1,3
537,57,21,76.7,0,4
538,31,12,62.6,1,3
539,28,12,72.3,1,5
540,64,10,67.6,0,5
541,51,13,63.9,0,2
542,55,14,61.5,0,3
543,59,14,70.1,0,4
544,59,14,87.2,1,3
545,55,14,51.7,0,2
546,41,15,61.2,0,3
547,88,16,100,1,4
548,52,13,87.3,0,2
549,42,10,53.4,0,4
550,66,14,83.5,1,3
551,55,15,66.5,1,4
552,21,12,46.7,0,3
553,30,10,63.8,0,4
554,72,14,87.6,1,4
555,69,14,64.3,0,3
556,18,17,65.9,0,1
557,55,18,54.4,1,2
558,23,10,53.5,1,1
559,33,12,67.9,1,4
560,37,19,70.2,1,3
561,56,13,81.9,1,1
562,62,9,73.0,0,3
563,59,14,63.5,1,4
564,69,18,75.6,1,4
565,37,14,52.5,0,2
566,38,15,63.8,1,3
567,44,17,76.0,1,3
568,52,13,64.8,0,4
569,32,13,66.8,0,2
570,49,16,72.5,1,5
571,39,14,36.4,1,4
572,44,10,53.7,0,3
573,35,15,77.8,1,2
574,18,15,69.0,1,3
575,44,14,57.0,1,3
576,27,12,45.4,1,3
577,44,15,53.8,1,3
578,59,10,73.6,1,5
579,31,18,46.5,0,4
580,49,12,44.3,0,4
581,56,13,64.0,1,3
582,52,13,80.3,1,4
583,52,14,69.1,0,4
584,35,13,47.2,0,3
585,61,9,68.4,1,1
586,68,12,64.5,0,3
587,57,13,83.5,0,2
588,66,16,85.0,0,3
589,44,11,77.4,0,1
590,63,15,83.1,1,4
591,46,12,58.3,1,5
592,43,11,80.5,1,3
593,73,19,73.7,1,5
594,60,11,69.9,0,4
595,33,11,68.4,0,4
596,37,16,59.1,1,1
597,52,9,80.1,0,2
598,30,17,52.8,1,4
599,53,11,50.3,0,4
600,61,14,58.6,1,3
601,34,13,49.7,0,4
602,38,11,59.5,1,3
603,44,13,42.9,0,3
604,62,14,89.2,0,5
605,62,14,90.0,0,4
606,44,13,40.2,0,2
607,50,14,81.9,1,3
608,36,19,78.7,1,3
609,54,13,61.5,1,3
610,56,11,70.3,1,4
611,30,17,59.5,1,2
612,48,14,61.9,0,4
613,54,14,64.7,1,2
614,41,16,46.8,1,2
615,50,14,56.4,0,4
616,55,14,64.4,1,4
617,18,14,36.4,1,2
618,19,13,68.6,1,3
619,69,16,100,1,1
620,72,13,100,1,2
621,30,11,49.9,1,2
622,43,17,80.4,1,4
623,50,14,60.9,1,4
624,88,10,80.3,1,5
625,61,15,79.7,0,4
626,54,16,81.9,0,3
627,60,11,78.5,1,3
628,35,11,59.3,0,3
629,60,9,89.7,1,2
630,45,9,67.0,0,5
631,18,19,53.0,0,5
632,55,18,65.0,0,3
633,47,15,87.3,0,3
634,40,14,66.8,1,3
635,54,9,80.8,1,5
636,58,10,54.7,0,3
637,38,11,66.3,1,4
638,33,14,55.8,1,4
639,65,12,69.7,0,3
640,49,15,70.7,0,3
641,49,10,69.0,1,2
642,58,11,79.3,1,4
643,39,13,44.7,1,2
644,86,14,95.4,0,5
645,51,14,67.3,1,3
646,42,12,50.2,1,2
647,41,14,69.1,1,3
648,32,12,49.4,1,3
649,22,14,60.8,1,3
650,49,12,60.2,1,2
651,43,10,45.5,1,3
652,57,16,89.6,1,1
653,53,11,47.3,0,3
654,47,13,87.6,0,3
655,45,9,56.5,0,2
656,58,17,72.8,0,4
657,43,15,65.1,0,4
658,84,17,100,1,3
659,43,13,55.7,0,3
660,49,11,66.1,0,2
661,68,13,88.9,0,4
662,18,13,50.0,1,4
663,54,14,74.0,0,4
664,57,12,57.6,0,3
665,82,14,89.3,0,2
666,23,11,46.6,1,3
667,41,15,46.7,1,2
668,40,15,55.2,0,3
669,33,13,66.3,1,3
670,58,14,79.2,1,4
671,37,12,49.9,1,3
672,53,13,74.1,1,2
673,66,11,73.5,1,3
674,41,15,45.6,0,3
675,43,14,60.3,1,3
676,65,11,88.4,1,4
677,75,15,90.5,0,3
678,49,14,78.9,1,3
679,48,9,60.7,0,2
680,30,13,47.1,0,3
681,53,11,72.1,1,3
682,47,16,63.5,0,2
683,46,14,70.9,0,3
684,59,13,72.6,0,3
685,56,15,58.9,0,2
686,46,9,44.9,0,3
687,62,12,69.0,1,1
688,30,13,41.6,0,2
689,31,14,60.7,1,3
690,58,16,60.1,1,4
691,59,15,72.9,1,4
692,67,13,87.7,1,3
693,21,15,47.3,0,5
694,75,14,76.5,0,3
695,33,11,34.9,1,4
696,45,15,71.6,0,2
697,24,12,48.4,1,2
698,18,11,58.5,1,1
699,49,18,93.7,0,2
700,67,14,96.3,0,3
701,19,17,29.9,0,3
702,43,11,61.7,1,1
703,35,15,52.6,0,4
704,46,9,65.2,0,1
705,36,16,59.7,1,3
706,51,15,89.1,1,2
707,74,12,85.0,1,3
708,41,12,67.0,0,3
709,83,15,93.0,1,2
710,77,13,98.2,1,3
711,65,15,85.3,1,4
712,58,9,78.3,0,2
713,33,9,52.1,0,2
714,39,17,84.2,0,5
715,61,17,83.6,1,3
716,48,11,49.9,1,4
717,59,16,69.8,0,4
718,46,13,63.8,1,3
719,51,16,69.1,1,3
720,65,16,83.6,1,3
721,63,9,71.5,1,4
722,34,16,60.4,1,3
723,78,12,96.1,1,3
724,51,12,60.6,0,3
725,75,9,62.9,1,3
726,73,17,92.4,0,5
727,34,13,41.7,0,4
728,66,12,82.7,1,3
729,49,15,74.1,0,4
730,53,12,77.1,0,4
731,38,10,27.6,1,3
732,41,16,75.2,0,3
733,62,9,74.0,1,4
734,31,12,48.4,1,3
735,51,14,90.8,0,2
736,43,12,53.8,1,4
737,36,13,43.2,0,4
738,38,17,78.8,0,3
739,40,15,50.8,0,4
740,45,12,58.6,1,4
741,49,15,60.1,0,4
742,50,14,92.0,0,4
743,23,16,48.2,0,5
744,63,16,80.4,1,3
745,18,15,52.6,1,2
746,37,15,38.4,1,3
747,69,14,76.6,0,3
748,55,18,76.2,1,4
749,70,12,70.5,0,3
750,42,16,64.3,0,4
751,23,15,46.6,1,3
752,49,15,86.1,1,1
753,49,14,60.5,1,5
754,23,10,41.4,1,1
755,57,14,63.1,1,3
756,56,9,64.5,1,3
757,37,12,55.7,0,2
758,53,12,61.2,1,3
759,69,18,89.0,1,2
760,63,16,82.4,0,4
761,18,10,29.2,0,3
762,18,12,65.2,0,2
763,32,11,61.7,1,2
764,35,10,65.7,1,2
765,48,15,66.0,1,3
